ref,site,height,age,lat,lon,pallat,pallong,D47,D47_sigma,SST,SST_error,organism,species,correction,scale,calibration,doi,notes
Peterson (2016) NC,Seymour Island,661,68.953,-64.29,-56.79,-60.712561,-60.731331,,,6.5,1,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,693,68.8,-64.29,-56.79,-60.712561,-60.731331,,,2,3,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,708,68.728,-64.29,-56.79,-60.712561,-60.731331,,,5,2.4,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,825,67.959,-64.29,-56.79,-60.712561,-60.731331,,,10.4,3.3,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,838,67.83,-64.29,-56.79,-60.712561,-60.731331,,,14.2,1.2,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,856,67.653,-64.29,-56.79,-60.393739,-59.202061,,,7.7,1.5,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,887,67.346,-64.29,-56.79,-60.393739,-59.202061,,,11.6,1.6,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,925,66.971,-64.29,-56.79,-60.393739,-59.202061,,,10.7,1.6,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,932,66.902,-64.29,-56.79,-60.393739,-59.202061,,,10.8,1.5,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,973,66.497,-64.29,-56.79,-60.393739,-59.202061,,,6.4,3.9,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,1002,66.309,-64.29,-56.79,-60.393739,-59.202061,,,6,3,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,1016,66.244,-64.29,-56.79,-60.393739,-59.202061,,,3.7,4.3,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,1025,66.202,-64.29,-56.79,-60.393739,-59.202061,,,11.5,2.4,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,1032,66.169,-64.29,-56.79,-60.393739,-59.202061,,,8.7,0.2,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,1051,66.08,-64.29,-56.79,-60.393739,-59.202061,,,6.6,1.4,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,1058.5,66.045,-64.29,-56.79,-60.393739,-59.202061,,,7.7,1.2,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,1067,65.995,-64.29,-56.79,-60.393739,-59.202061,,,6.5,1.4,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) NC,Seymour Island,1098,65.808,-64.29,-56.79,-60.393739,-59.202061,,,1.8,1.1,bivalves,multiple,,Absolute (Dennis 2011),Deliese 2015,https://doi.org/10.1038/ncomms12079,SE rather than inverse variance weighted error
Peterson (2016) Geo,Western Interior Seaway,A4716-unio,70,45.15,-101.82,51.058578,-79.000948,0.732,0.007,12.9,2.2,mollusks,Unio sp,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Freshwater (1)
Peterson (2016) Geo,Western Interior Seaway,D5453-camp,70,42.14,-107.5,48.79699,-86.093659,0.733,0.007,12.5,2.1,mollusks,Campeloma whitei,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Freshwater (2)
Peterson (2016) Geo,Western Interior Seaway,D5453-campB,70,42.14,-107.5,48.79699,-86.093659,0.735,0.009,12.1,2.8,mollusks,Campeloma whitei,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Freshwater (2)
Peterson (2016) Geo,Western Interior Seaway,D5453-ples,70,42.14,-107.5,48.79699,-86.093659,0.729,0.009,14,3,mollusks,Plesielliptio postbiplicatus,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Freshwater (2)
Peterson (2016) Geo,Western Interior Seaway,10022-unioA,70,47.8,-107.25,54.346015,-84.272704,0.722,0.004,16.3,1.4,mollusks,Fusconaia brachyopistha,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Freshwater (2)
Peterson (2016) Geo,Western Interior Seaway,10022-unioB,70,47.8,-107.25,54.346015,-84.272704,0.725,0.012,15.2,3.8,mollusks,Fusconaia brachyopistha,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Freshwater (2)
Peterson (2016) Geo,Western Interior Seaway,16002-ano,70,46.99,99.87,47.997174,97.059277,0.746,0.005,8.5,1.5,mollusks,Anomia micronema (,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Estuarine
Peterson (2016) Geo,Western Interior Seaway,16002-corbA,70,46.99,99.87,47.997174,97.059277,0.752,0.002,6.8,0.5,mollusks,Corbicula cleburni,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Estuarine
Peterson (2016) Geo,Western Interior Seaway,16002-corbB,70,46.99,99.87,47.997174,97.059277,0.742,0.011,9.9,3.3,mollusks,Corbicula cleburni,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Estuarine
Peterson (2016) Geo,Western Interior Seaway,6113-Luna,70,45.82,-101.4,51.662012,-78.337771,0.75,0.012,7.8,3.5,mollusks,Lunatia subcrassa,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Estuarine
Peterson (2016) Geo,Western Interior Seaway,6113-ost,70,45.82,-101.4,51.662012,-78.337771,0.751,0.012,7.4,3.5,mollusks,Ostrea subtrigonalis,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Estuarine
Peterson (2016) Geo,Western Interior Seaway,6113-Tamer,70,45.82,-101.4,51.662012,-78.337771,0.756,0.013,5.8,3.7,mollusks,Tancredia americana,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Estuarine
Peterson (2016) Geo,Western Interior Seaway,16216-biv,70,40.91,-105.01,47.284543,-83.635653,0.724,0.01,15.9,3.5,mollusks,unknown,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Estuarine
Peterson (2016) Geo,Western Interior Seaway,A120-cymb,70,46.16,-100.58,51.887656,-77.329428,0.744,0.004,9.4,1.2,mollusks,Cymbophora warrenana,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Shallow Marine WIS
Peterson (2016) Geo,Western Interior Seaway,A120-C1-cuc,70,46.16,-100.58,51.887656,-77.329428,0.759,0.007,4.9,2,mollusks,Cucullaea nebrascensis,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Shallow Marine WIS
Peterson (2016) Geo,Western Interior Seaway,SB1-crass,70,46.3,-99.82,51.923648,-76.449511,0.735,0.007,12.1,2.3,mollusks,Crassostrea sp,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Shallow Marine WIS
Peterson (2016) Geo,Western Interior Seaway,A131-Tamer,70,46.02,-100.61,51.75422,-77.405788,0.738,0.012,11.1,3.7,mollusks,Tancredia Americana,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Shallow Marine WIS
Peterson (2016) Geo,Western Interior Seaway,A500-dos,70,45.2,-101.49,51.064701,-78.622473,0.73,0.006,13.5,1.8,mollusks,Dosiniopsis sp,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Shallow Marine WIS
Peterson (2016) Geo,Western Interior Seaway,D7409-cymb,70,39.51,-103.84,45.758988,-82.681518,0.749,0.008,7.7,2.4,mollusks,Cymbophora warrenana,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Shallow Marine WIS
Peterson (2016) Geo,Western Interior Seaway,D7904-tamer,70,39.51,-103.84,45.758988,-82.681518,0.758,0.012,5.2,3.4,mollusks,Tancredia americana,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Shallow Marine WIS
Peterson (2016) Geo,Western Interior Seaway,A4654-biv,70,45.67,-101.31,51.502881,-78.283866,0.756,0.005,5.6,1.4,mollusks,unidentified bivalve,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Shallow Marine WIS
Peterson (2016) Geo,Western Interior Seaway,A4654-gas,70,45.67,-101.31,51.502881,-78.283866,0.754,0.005,6.2,1.6,mollusks,unidentified spiral gastropod,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Shallow Marine WIS
Peterson (2016) Geo,Western Interior Seaway,D4153-ost,70,35.97,-106.95,42.633144,-86.82229,0.708,0.006,20.7,2,mollusks,Ostrea glabra,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Deep Marine WIS
Peterson (2016) Geo,Western Interior Seaway,ChurchAR-biv,70,38.85,-104.84,45.229958,-83.922411,0.723,0.003,15.8,1.1,mollusks,unidentified bivalve,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Deep Marine WIS
Peterson (2016) Geo,Western Interior Seaway,BCL-biv,70,38.85,-104.85,45.229958,-83.922411,0.738,0.008,11.2,2.6,mollusks,unidentified baculite,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Deep Marine WIS
Peterson (2016) Geo,Western Interior Seaway,MC-PRB-EXOa,70,32.39,-87.9,36.573634,-67.350727,0.703,0.005,22.2,1.8,mollusks,Exogyra costata,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Open Ocean Gulf
Peterson (2016) Geo,Western Interior Seaway,MC-PRB-EXOb,70,32.39,-87.9,36.573634,-67.350727,0.701,0.004,22.9,1.3,mollusks,Exogyra costata,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Open Ocean Gulf
Peterson (2016) Geo,Western Interior Seaway,CC-RIP-CRAa,70,35.33,-88.43,39.54516,-67.242704,0.712,0.006,19.2,2,mollusks,Crassitellites vadosus,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Open Ocean Gulf
Peterson (2016) Geo,Western Interior Seaway,CC-RIP-CUCaU,70,35.33,-88.43,39.54516,-67.242704,0.726,0.012,14.6,3.8,mollusks,Cucullaea vulgaris,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Open Ocean Gulf
Peterson (2016) Geo,Western Interior Seaway,CC-RIP-CUCaV,70,35.33,-88.43,39.54516,-67.242704,0.722,0.004,15.7,1.4,mollusks,Cucullaea vulgaris,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Open Ocean Gulf
Peterson (2016) Geo,Western Interior Seaway,CC-RIP-TURa,70,35.33,-88.43,39.54516,-67.242704,0.73,0.002,13.1,0.6,mollusks,Turritella paravertebroide,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Open Ocean Gulf
Peterson (2016) Geo,Western Interior Seaway,OC-RIP-EXOa,70,35.12,-88.41,39.335631,-67.270609,0.712,0.011,19.2,3.7,mollusks,Exogyra costata,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Open Ocean Gulf
Peterson (2016) Geo,Western Interior Seaway,OC-RIP-EXOb,70,35.12,-88.41,39.335631,-67.270609,0.739,0.006,10.3,1.9,mollusks,Exogyra costata,,Absolute (dennis 2011),"Defliese et al., 2015",https://doi.org/10.1130/G38311.1,Open Ocean Gulf
Gilbert (2016),"Calvert Cliffs, MD",Ah_2,12.9,38,-76,39.431916,-71.938261,0.759,0.019,2.5,4.4,bivalve,Atrina harrisii,,Absolute (Dennis 2011),Henkes 2013,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),"Calvert Cliffs, MD",Ps_3_2,12.9,38,-76,39.431916,-71.938261,0.705,0.024,21.6,3.3,bivalve,Atrina harrisii,,Absolute (Dennis 2011),Henkes 2014,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),"Calvert Cliffs, MD",Ps_4_2,12.9,38,-76,39.431916,-71.938261,0.732,0.01,11.5,2.5,bivalve,Atrina harrisii,,Absolute (Dennis 2011),Henkes 2015,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),Alabama,Ps_1_2,53,31,-86,34.724099,-71.342553,0.706,0.021,21.3,4.8,bivalve,Pinna sp.,,Absolute (Dennis 2011),Henkes 2016,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),Alabama,Ps_2_2,53,31,-86,34.724099,-71.342553,0.721,0.018,15.5,4.5,bivalve,Pinna sp.,,Absolute (Dennis 2011),Henkes 2017,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),Mississippi,Ps_5_2_a,65.75,34,-89,38.657356,-70.632595,0.692,0.028,26.7,4.1,bivalve,Pinna sp.,,Absolute (Dennis 2011),Henkes 2018,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),Mississippi,Ps_6_2_a,65.75,34,-89,38.657356,-70.632595,0.702,0.012,22.9,3.4,bivalve,Pinna sp.,,Absolute (Dennis 2011),Henkes 2019,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),Mississippi,Ps_5_2_c,65.75,34,-89,38.657356,-70.632595,0.7,0.025,23.6,3.4,bivalve,Pinna sp.,,Absolute (Dennis 2011),Henkes 2020,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Gilbert (2016),Mississippi,Ps_6_2_c,65.75,34,-89,38.657356,-70.632595,0.718,0.002,16.6,1,bivalve,Pinna sp.,,Absolute (Dennis 2011),Henkes 2021,https://doi.org/10.1016/j.epsl.2016.11.012,error is 1 SEM
Leutert (2019),1408,,43.432,41.43,-49.8,40.570882,-36.438425,,,24.7,1.5,planktic foraminfera,Acarinina bullbrooki,Brand,Absolute,Kele 2015,https://doi.org/10.1016/j.gca.2019.05.005,Better preservation
Leutert (2019),1409,,43.432,41.3,-49.2,40.387489,-35.871365,,,23.6,1.4,planktic foraminfera,Acarinina bullbrooki,Brand,Absolute,Kele 2015,https://doi.org/10.1016/j.gca.2019.05.005,Better preservation
Leutert (2019),1410,,43.432,41.3,-49.2,40.387489,-35.871365,,,26.4,1.3,planktic foraminfera,Acarinina bullbrooki,Brand,Absolute,Kele 2015,https://doi.org/10.1016/j.gca.2019.05.005,Better preservation
de Winter (2018),Bajada de Jagull,,68,-38.10291667,-68.38902778,-38.249783,-53.343133,0.699,0.007,23.8,2.5,Mollusc,P. vesicularis,G/S,Absolute,Defliese et al. (2015),https://doi.org/10.5194/cp-14-725-2018,Ventral margin
de Winter (2018),Bajada de Jagull,,68,-38.10291667,-68.38902778,-38.249783,-53.343133,0.707,0.012,21.3,4,Mollusc,P. vesicularis,G/S,Absolute,Defliese et al. (2015),https://doi.org/10.5194/cp-14-725-2018,Ventral margin
de Winter (2018),Bajada de Jagull,,68,-38.10291667,-68.38902778,-38.249783,-53.343133,0.696,0.022,25.4,7.7,Mollusc,P. vesicularis,G/S,Absolute,Defliese et al. (2015),https://doi.org/10.5194/cp-14-725-2018,Ventral margin
Douglas (2014),Seymour Island,0153C1,37.4,-64.24,-56.64,-61.728489,-59.745029,0.761,0.019,12,3.7,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2013,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,0153C4,37.4,-64.24,-56.64,-61.728489,-59.745029,0.768,0.011,10.6,1.9,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2014,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,0199C1,37.5,-64.24,-56.64,-61.767349,-59.723374,0.751,0.009,14.1,1.7,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2015,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,0143C1,42,-64.24,-56.64,-61.767349,-59.723374,0.758,0.011,12.7,3.7,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2016,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,0143C3,42,-64.24,-56.64,-61.767349,-59.723374,0.759,0.011,12.6,2.2,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2017,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,06311C1,44,-64.24,-56.64,-61.842721,-58.943687,0.758,0.011,12.8,2.3,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2018,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,0104C1,45,-64.24,-56.64,-61.842721,-58.943687,0.72,0.011,21,1.9,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2019,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,0104C3,45,-64.24,-56.64,-61.842721,-58.943687,0.746,0.011,14.3,2.2,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2020,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,0104C2,45,-64.24,-56.64,-61.842721,-58.943687,0.751,0.009,15.3,2.9,mollusc (bivalve),Cucullaea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2021,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.82E+32,34,-64.24,-56.64,-61.728489,-59.745029,0.739,0.01,16.9,1.8,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2022,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.59E+33,34,-64.24,-56.64,-61.728489,-59.745029,0.765,0.011,13,2,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2023,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.59E+32,34,-64.24,-56.64,-61.728489,-59.745029,0.775,0.013,9.2,3.1,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2024,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.53E+07,37.4,-64.24,-56.64,-61.728489,-59.745029,0.76,0.011,12.2,0.8,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2025,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.99E+04,37.5,-64.24,-56.64,-61.767349,-59.723374,0.758,0.013,12.7,1.2,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2026,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.99E+07,37.5,-64.24,-56.64,-61.767349,-59.723374,0.751,0.011,14.3,0.9,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2027,https://doi.org/10.1073/pnas.1321441111,
Douglas (2014),Seymour Island,1.63E+03,40.5,-64.24,-56.64,-61.767349,-59.723374,0.765,0.011,11.3,4.3,mollusc (bivalve),Eurhomalea,,Absolute,Ghosh et al. 2006 but revised by Zaarur 2028,https://doi.org/10.1073/pnas.1321441111,
