source,msbf,age,d18O_raw,fullsp,d18O_species,d18O,origin,ref,notes
DSDP 305,159.37,68.87040325,1.18,Aragonia velascoensis,1.18,1.18,Cramer2009,BarreraSavin99,"In Cramer et al., 2009, compilation."
DSDP 305,160.27,69.23926318,1.23,Aragonia velascoensis,1.23,1.23,Cramer2009,BarreraSavin99,"In Cramer et al., 2009, compilation."
DSDP 305,161.65,69.8048484,1.19,Aragonia velascoensis,1.19,1.19,Cramer2009,BarreraSavin99,"In Cramer et al., 2009, compilation."
DSDP 305,224.99,75.53090628,0.42,mixed benthics,0.42,0.42,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,232.45,76.19296173,0.58,mixed benthics,0.58,0.58,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,205.49,73.81082753,0.41,Nuttallides truempyi,0.57,0.57,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,205.99,73.85763189,0.6,Nuttallides truempyi,0.79,0.79,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,206.49,73.90443625,0.15,Nuttallides truempyi,0.28,0.28,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,206.99,73.95124061,0.18,Nuttallides truempyi,0.31,0.31,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,207.99,74.04484933,0.1,Nuttallides truempyi,0.22,0.22,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,208.49,74.09165369,0.31,Nuttallides truempyi,0.46,0.46,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,209.49,74.18526241,0.3,Nuttallides truempyi,0.45,0.45,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,209.99,74.23206677,0.33,Nuttallides truempyi,0.48,0.48,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,210.49,74.27600082,0.23,Nuttallides truempyi,0.37,0.37,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,211.49,74.36143562,0.15,Nuttallides truempyi,0.28,0.28,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,212.49,74.44687042,0.07,Nuttallides truempyi,0.19,0.19,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,214.99,74.66045742,0.21,Nuttallides truempyi,0.35,0.35,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,215.49,74.70317482,0.08,Nuttallides truempyi,0.2,0.2,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,215.94,74.74162048,0.19,Nuttallides truempyi,0.33,0.33,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,216.5,74.78946396,0.29,Nuttallides truempyi,0.44,0.44,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,216.99,74.83132701,0.28,Nuttallides truempyi,0.43,0.43,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,217.49,74.87404441,0.27,Nuttallides truempyi,0.42,0.42,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,217.98,74.91590746,0.39,Nuttallides truempyi,0.55,0.55,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,218.49,74.95947921,0.31,Nuttallides truempyi,0.46,0.46,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,219.45,75.04366075,0.39,Nuttallides truempyi,0.55,0.55,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,219.99,75.091154,0.48,Nuttallides truempyi,0.65,0.65,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,220.48,75.13424972,0.42,Nuttallides truempyi,0.58,0.58,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,220.97,75.17734545,0.33,Nuttallides truempyi,0.48,0.48,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,221.49,75.22307968,0.49,Nuttallides truempyi,0.66,0.66,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,224.56,75.49308759,0.28,Nuttallides truempyi,0.43,0.43,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,225.49,75.57488151,0.35,Nuttallides truempyi,0.51,0.51,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,225.98,75.61797723,0.35,Nuttallides truempyi,0.51,0.51,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,226.46,75.66019345,0.18,Nuttallides truempyi,0.31,0.31,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,226.96,75.70438427,0.28,Nuttallides truempyi,0.43,0.43,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,227.41,75.7444316,0.19,Nuttallides truempyi,0.33,0.33,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,227.9,75.7880387,0.23,Nuttallides truempyi,0.37,0.37,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,228.4,75.83253574,0.19,Nuttallides truempyi,0.33,0.33,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,228.92,75.87881265,0.32,Nuttallides truempyi,0.47,0.47,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,229.4,75.92152981,0.1,Nuttallides truempyi,0.22,0.22,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,229.98,75.97314637,0.22,Nuttallides truempyi,0.36,0.36,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,230.45,76.01497359,0.22,Nuttallides truempyi,0.36,0.36,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,231.97,76.15024458,0.26,Nuttallides truempyi,0.4,0.4,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,233.99,76.33001261,0.2,Nuttallides truempyi,0.34,0.34,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,234.49,76.37450964,0.21,Nuttallides truempyi,0.35,0.35,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,234.93,76.41378312,0.22,Nuttallides truempyi,0.36,0.36,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,235.45,76.46061575,0.43,Nuttallides truempyi,0.6,0.6,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,235.97,76.50744839,0.22,Nuttallides truempyi,0.36,0.36,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,236.48,76.55338039,0.22,Nuttallides truempyi,0.36,0.36,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,236.96,76.59661051,0.17,Nuttallides truempyi,0.3,0.3,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,237.47,76.64254252,0.29,Nuttallides truempyi,0.44,0.44,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,237.9,76.6812695,0.25,Nuttallides truempyi,0.39,0.39,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,237.99,76.68937515,0.17,Nuttallides truempyi,0.3,0.3,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,238.93,76.77403414,-0.02,Nuttallides truempyi,0.09,0.09,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,239.49,76.82446928,0.12,Nuttallides truempyi,0.25,0.25,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,239.99,76.86950066,-0.05,Nuttallides truempyi,0.06,0.06,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,240.49,76.91453203,-0.4,Nuttallides truempyi,-0.34,-0.34,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,242.51,77.0964588,0.12,Nuttallides truempyi,0.25,0.25,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,243.01,77.1412589,-0.12,Nuttallides truempyi,-0.02,-0.02,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,243.49,77.18397606,-0.04,Nuttallides truempyi,0.07,0.07,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,243.99,77.2284731,-0.4,Nuttallides truempyi,-0.34,-0.34,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,244.99,77.31746717,0.19,Nuttallides truempyi,0.33,0.33,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,252.44,77.98276216,-0.4,Nuttallides truempyi,-0.34,-0.34,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,252.97,78.03069764,-0.31,Nuttallides truempyi,-0.24,-0.24,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,253.75,78.10124421,-0.15,Nuttallides truempyi,-0.06,-0.06,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,254.12,78.13470861,-0.38,Nuttallides truempyi,-0.31,-0.31,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,254.48,78.16726856,-0.53,Nuttallides truempyi,-0.48,-0.48,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,139.7,66.90687633,0.49,Nuttallides truempyi,0.66,0.66,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,141.2,67.01801376,0.4,Nuttallides truempyi,0.56,0.56,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,142.67,67.12546555,0.56,Nuttallides truempyi,0.74,0.74,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,144.2,67.23580665,0.44,Nuttallides truempyi,0.61,0.61,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,145.56,67.33388763,0.41,Nuttallides truempyi,0.57,0.57,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,149.15,67.59279257,0.11,Nuttallides truempyi,0.24,0.24,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,150.72,67.70601841,0.26,Nuttallides truempyi,0.4,0.4,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,152.25,67.81635951,0.24,Nuttallides truempyi,0.38,0.38,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,153.7,67.92855237,0.42,Nuttallides truempyi,0.58,0.58,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,155.2,68.04514854,0.49,Nuttallides truempyi,0.66,0.66,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,156.76,68.16640857,0.48,Nuttallides truempyi,0.65,0.65,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,159.37,68.87040325,0.76,Nuttallides truempyi,0.97,0.97,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,160.27,69.23926318,0.91,Nuttallides truempyi,1.13,1.13,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,161.65,69.8048484,0.77,Nuttallides truempyi,0.98,0.98,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,163.27,70.24860761,0.7,Nuttallides truempyi,0.9,0.9,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,164.77,70.35600341,0.72,Nuttallides truempyi,0.92,0.92,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,166.21,70.45910337,0.91,Nuttallides truempyi,1.13,1.13,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,167.71,70.56649917,0.5,Nuttallides truempyi,0.67,0.67,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,169.25,70.67675886,0.59,Nuttallides truempyi,0.78,0.78,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,170.79,70.78701855,0.51,Nuttallides truempyi,0.69,0.69,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,172.2,70.8879706,0.59,Nuttallides truempyi,0.78,0.78,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,172.2,70.8879706,0.64,Nuttallides truempyi,0.83,0.83,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,173.71,70.99733087,0.54,Nuttallides truempyi,0.72,0.72,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,175.24,71.10990826,0.59,Nuttallides truempyi,0.78,0.78,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,177.21,71.25486084,0.14,Nuttallides truempyi,0.27,0.27,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,180.16,71.47192182,0.01,Nuttallides truempyi,0.12,0.12,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,183.26,71.70425606,0.02,Nuttallides truempyi,0.13,0.13,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,186.67,72.01414966,-0.01,Nuttallides truempyi,0.1,0.1,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,188.17,72.1504665,0,Nuttallides truempyi,0.11,0.11,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,189.72,72.29132723,0,Nuttallides truempyi,0.11,0.11,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,191.2,72.42582651,-0.1,Nuttallides truempyi,0,0,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,192.7,72.56444408,-0.08,Nuttallides truempyi,0.02,0.02,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,194.18,72.71125071,-0.04,Nuttallides truempyi,0.07,0.07,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP 305,210.49,74.27600082,0.73,Praebulimina,0.45,0.45,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,215.49,74.70317482,0.96,Praebulimina,0.68,0.68,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,219.99,75.091154,1.09,Praebulimina,0.81,0.81,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,224.56,75.49308759,0.84,Praebulimina,0.56,0.56,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,224.99,75.53090628,0.57,Praebulimina,0.29,0.29,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,225.49,75.57488151,0.65,Praebulimina,0.37,0.37,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,225.98,75.61797723,0.62,Praebulimina,0.34,0.34,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,226.46,75.66019345,0.49,Praebulimina,0.21,0.21,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,226.96,75.70438427,0.66,Praebulimina,0.38,0.38,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,227.41,75.7444316,0.52,Praebulimina,0.24,0.24,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,227.9,75.7880387,0.58,Praebulimina,0.3,0.3,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,228.4,75.83253574,0.61,Praebulimina,0.33,0.33,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,228.4,75.83253574,0.32,Praebulimina,0.04,0.04,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,228.92,75.87881265,0.64,Praebulimina,0.36,0.36,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,229.4,75.92152981,0.69,Praebulimina,0.41,0.41,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,229.98,75.97314637,0.57,Praebulimina,0.29,0.29,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,230.45,76.01497359,0.59,Praebulimina,0.31,0.31,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,230.97,76.0612505,0.46,Praebulimina,0.18,0.18,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,231.47,76.10574754,0.69,Praebulimina,0.41,0.41,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,231.97,76.15024458,-0.01,Praebulimina,-0.29,-0.29,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,232.45,76.19296173,0.27,Praebulimina,-0.01,-0.01,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,234.49,76.37450964,0.63,Praebulimina,0.35,0.35,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,235.45,76.46061575,0.39,Praebulimina,0.11,0.11,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,236.48,76.55338039,0.46,Praebulimina,0.18,0.18,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,237.99,76.68937515,0.55,Praebulimina,0.27,0.27,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,238.49,76.73440653,0.46,Praebulimina,0.18,0.18,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,239.99,76.86950066,0.59,Praebulimina,0.31,0.31,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,240.49,76.91453203,0.26,Praebulimina,-0.02,-0.02,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,242.51,77.0964588,0.27,Praebulimina,-0.01,-0.01,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,243.49,77.18397606,0.29,Praebulimina,0.01,0.01,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,244.49,77.27297013,-0.06,Praebulimina,-0.34,-0.34,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,244.99,77.31746717,0.33,Praebulimina,0.05,0.05,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,252.44,77.98276216,-0.09,Praebulimina,-0.37,-0.37,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,252.97,78.03069764,-0.02,Praebulimina,-0.3,-0.3,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,253.75,78.10124421,0.07,Praebulimina,-0.21,-0.21,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,254.12,78.13470861,0.01,Praebulimina,-0.27,-0.27,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,254.48,78.16726856,-0.03,Praebulimina,-0.31,-0.31,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,253.19,89.89953721,-1.73,Bolivina anambra,-1.73,-1.43,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,72.97,68.37237326,0.19,Gavelinella beccariiformis,0.19,0.49,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,80.53,68.79623799,0.07,Gavelinella beccariiformis,0.07,0.37,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,87.01,69.14315211,0.07,Gavelinella beccariiformis,0.07,0.37,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,98.04,69.65588378,0.43,Gavelinella beccariiformis,0.43,0.73,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,99.49,69.71065084,0.36,Gavelinella beccariiformis,0.36,0.66,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,101.92,69.80243286,0.95,Gavelinella beccariiformis,0.95,1.25,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,108.21,70.04000856,0.97,Gavelinella beccariiformis,0.97,1.27,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,132.68,70.74662138,0.31,Gavelinella beccariiformis,0.31,0.61,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,139.21,70.94248277,0.09,Gavelinella beccariiformis,0.09,0.39,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,145.26,71.12962009,-0.04,Gavelinella beccariiformis,-0.04,0.26,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,145.61,71.14044622,0.02,Gavelinella beccariiformis,0.02,0.32,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,162.46,71.91206853,0.01,Gavelinella beccariiformis,0.01,0.31,Cramer2009,BarreraSavin99,"In Cramer et al., 2009 & Friedrich et al., 2012 compilations."
DSDP463,214.96,79.06632426,-0.6,Globorotalites conicus,-0.6,-0.3,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
